pipeline	id	name	constants	wg_denoms	subgroup	calls_per_graph	workgroups_per_graph	total_bracket_upper_bound_ms	pipeline_bracket_union_ms	exclusive_bracket_ms	ambiguous_overlap_ms	median_us	p90_us	p99_us	max_us	vgprs	sgprs	spilled_vgprs	lds	scratch	subgroups_per_simd	spirv_executed_sha256
pipeline	31	mul_mat_vec_q4_k_f32_f32	64,4,1	4,1,1	64	216.000	247168.0	12093.932	12045.695	11933.609	112.086	820.1	1826.1	1838.1	2033.3	64	48	0	0	0	4	a9ac07dd4063e0903662cd5f1be68a5c2fbf06b0de924acd223525c7e4519d0d
pipeline	27	mul_mat_vec_q6_k_f32_f32	64,4,1	4,1,1	64	33.000	97920.0	5114.010	5114.010	5103.793	10.217	1282.1	2265.4	38733.9	39461.9	64	48	0	512	0	4	d584d6b41c26085ac1bef3236b4c24e71f0e98ddcf63ff12da46381b0c12c779
pipeline	4	get_rows_f32_f32	-	512,1,1	0	49.000	25733.0	375.178	375.178	363.252	11.926	26.6	232.8	237.8	301.6	4	48	0	0	0	10	fafe80bdb8aa8cbc604b89086ca9c2b9f583a61aeb59485f0753411cf32f11b5
pipeline	16	gated_delta_net_f32_d128	128,0,64,8	1,1,8	64	24.000	12288.0	348.362	348.362	329.730	18.632	229.1	241.4	259.0	310.4	64	48	0	0	0	4	82506bf6a83dcccbd56107c5bd56f2f7848aea36a2237b8591d6db13539c33ba
pipeline	17	contig_cpy_f32_f32	-	512,1,1	0	24.000	24576.0	262.011	262.011	260.844	1.167	171.4	181.0	232.0	300.5	8	32	0	0	0	10	65ad91fafe69ecd250f575d3e64b2feab853293aca2e77b4b5d8adc5cb6a5297
pipeline	2	rms_norm_mul_f32	0,1	1,1,1	0	97.000	985.0	113.951	113.951	109.913	4.037	17.8	29.4	35.0	50.1	40	96	0	2048	0	6	f8ff313d10a2b769f5600531fdf16d56075b901b5025f1f8aef9fe5a9f799193
pipeline	7	cpy_f32_f32	-	512,1,1	0	32.000	1216.0	83.651	83.651	26.212	57.439	37.4	71.4	97.0	105.3	16	48	0	0	0	10	42df294d98fcb62fe55a28d0606af612b3db2974fcfcd1f54a556df93914fe1c
pipeline	6	concat_i32	-	512,1,1	0	24.000	1536.0	66.010	66.010	59.608	6.402	43.7	44.3	45.1	57.6	24	48	0	0	0	10	6730d84ddc1d56579237fd0c9e08ed30249539e84ae9a3e3c3c81471e958c640
pipeline	8	ssm_conv_silu_f32	32,16,0,1	32,16,1	0	24.000	6144.0	51.894	51.894	43.600	8.294	33.8	42.6	46.6	50.9	12	32	0	0	0	10	e5deee0b5cdb126d8de0c65a8a2b58cf1a5b4aae664cefee20adfa556837b3cc
pipeline	26	flash_attn_f32_f16_aligned	256,4,32,256,256,0,8,4,64,0,2,1664,8,2,34,18	4,1,1	64	8.000	32.0	38.076	38.076	6.202	31.874	73.6	98.9	100.0	108.2	128	80	0	29184	0	2	3cc1200f454f96a623755925419f8e9804b4e68cdcb540aae24dfe8de519d093
pipeline	10	l2_norm_f32	-	1,1,1	0	48.000	768.0	36.171	34.649	18.112	16.537	11.0	16.5	17.6	31.8	8	48	0	2048	0	10	a48a4f1949509e775f7c204c146ac883eb9e216a0656e120a74be5e1d215e24e
pipeline	18	mul_f32_f32_f32_norepeat	1	512,1,1	0	56.000	280.0	24.341	24.341	22.369	1.972	8.3	8.8	15.7	22.9	24	48	0	0	0	10	6ad67ad0fc4a583fa1f84b76c5f0efd838711b4847b2566a6d1f871ea43ccccc
pipeline	20	swiglu_f32	-	512,1,1	0	32.000	576.0	24.341	24.341	24.341	0.000	11.7	13.0	16.2	30.2	16	48	0	0	0	10	3f7566971cea1b0c06e0c6f211c001709dcd15cf0dc308c02f0b93c0502aacd6
pipeline	19	add_f32_f32_f32_norepeat	1	512,1,1	0	40.000	104.0	13.891	13.891	10.562	3.329	4.5	7.7	8.5	22.1	24	48	0	0	0	10	e9d1ca8ae73fa0394f7d210c8cb5f80812450d18f5a171721be082fb5e4ba60b
pipeline	15	silu_f32	-	512,1,1	0	24.000	192.0	11.895	11.895	9.560	2.335	7.5	8.3	11.8	23.0	16	48	0	0	0	10	e20bc2d5aeffd5c5fe32f2d9fbbb7225959daeebbd356c5a88f303e18ad75795
pipeline	13	sigmoid_f32	-	512,1,1	0	32.000	88.0	11.731	11.731	10.387	1.344	5.1	8.5	9.0	9.8	16	48	0	0	0	10	e7f474fbf06ec2e6c12f0677bd429bfda8615560c00e43c7d553c05b65445bcf
pipeline	21	rope_multi_f32	-	1,512,1	0	16.000	160.0	7.764	7.764	3.537	4.227	7.4	9.1	10.2	10.7	8	48	0	0	0	10	39e1c217020d1f89b8f019242240cd9e12ce578d34ddad4957e6badd2c21a9cd
pipeline	12	softplus_f32	-	512,1,1	0	24.000	24.0	6.560	6.560	5.044	1.515	4.0	4.5	8.0	8.3	16	48	0	0	0	10	ce00a9a0d18b3e3c33166257497ba64c9cd781f31a70935ae80ce5f292511916
pipeline	22	fwht_f32	64,64	1,1,1	64	16.000	160.0	5.323	5.323	2.144	3.179	5.6	6.9	7.5	8.0	12	32	0	0	0	10	5c4b882c6eb2f31c1db6d38767961eb6f1285aa40903fcf53d13261fab2f86f1
pipeline	23	fwht_f32	64,256	1,1,1	64	16.000	40.0	4.811	4.811	3.231	1.580	5.4	5.8	6.1	7.2	24	32	0	0	0	10	5c4b882c6eb2f31c1db6d38767961eb6f1285aa40903fcf53d13261fab2f86f1
pipeline	24	set_rows_f32_q8_0_i64	1	1,1,1	0	8.000	8.0	4.721	4.721	1.685	3.035	10.9	11.5	13.3	15.2	36	48	0	0	0	7	427d0d6317f69c2f9b37fee9808878045f448c9784a933c4f46186dfc4c12f4e
pipeline	32	add_rms_f32_f32_f32_norepeat	1	512,1,1	0	8.000	40.0	4.101	4.101	4.091	0.010	7.8	9.1	9.8	22.6	24	48	0	512	0	10	4a0e24d19c8c6e63f6d32ae7aaa5a2e0a71f07fee9b5460788c0ce8ceaeb6526
pipeline	33	rms_norm_mul_partials_f32	0,1	1,1,1	0	8.000	160.0	4.050	4.050	4.050	0.000	6.1	13.1	14.7	15.4	32	48	0	0	0	8	6b9374d29b32900020773c720f3f8d7e8d66264beafb9c0cfd1344e4886ca3eb
pipeline	25	set_rows_f32_q4_0_i64	1	1,1,1	0	8.000	8.0	3.886	3.886	0.851	3.035	8.2	8.8	10.7	12.6	36	48	0	0	0	7	791d4ebc56762d2f815849ddf1c60967eb7f537a7784ad1208cd5e02b96dfd8a
pipeline	1	get_rows_q6_k_f32	-	1024,1,1	0	1.000	3.0	1.223	1.223	1.223	0.000	19.5	19.8	20.0	20.0	20	48	0	0	0	10	3251a3841eeda1de85ad3ed8abd3fc75d6e733913dcef1664d659c56ee3f828a
graphs	decode	63	raw_bracket_sum_ms_per_graph=297.014	bracket_union_ms_per_graph=294.205	exclusive_ms_per_graph=291.396	ambiguous_overlap_ms_per_graph=2.809	same_pipeline_overlap_ms_per_graph=0.790	cross_pipeline_overlap_ms_per_graph=2.019	overlap_ms_per_graph=2.809	overlap_fraction=0.0095	cross_pipeline_overlap_fraction=0.0069	overlap_threshold=0.0500	ownership=conclusive	queue_non_dispatch_ms_per_graph=4.694	queue_completion_span_ms_per_graph=298.899	retire_span_ms_per_graph=305.533	record_ms_per_graph=96.720	readback_ms_per_graph=0.104	dispatch_row_emit_ms_per_graph=0.383	total_emit_ms_per_graph=5.096	flush_ms_per_graph=4.714	residual_ms_per_graph=6.634	submits_per_graph=52.000	read_at=synchronize	device=Vulkan0	serialize_submissions=0	contexts=2	selected_context=2
